date,avg_temp_max_celsius,avg_temp_min_celsius,avg_temp_mean_celsius,avg_temp_range_celsius,total_precipitation_mm,avg_precipitation_mm,max_wind_speed_kmh,avg_wind_speed_kmh,rainy_city_count,hot_city_count,cold_city_count,day_of_week,is_weekend,month,season,temp_extreme_flag,temp_deviation_from_18,comfort_gap_celsius,wet_day_flag
2025-06-06,22.53333333333333,13.299999999999999,17.916666666666668,9.233333333333333,0.30000000000000004,0.10000000000000002,15.4,14.333333333333334,2,0,0,Friday,0,6,Summer,0,0.08333333333333215,-0.08333333333333215,1
2025-06-07,24.066666666666666,14.433333333333332,19.25,9.633333333333333,1.1,0.3666666666666667,19.2,17.133333333333333,2,0,0,Saturday,1,6,Summer,0,1.25,1.25,1
2025-06-08,21.099999999999998,12.933333333333332,17.016666666666666,8.166666666666666,1.0,0.3333333333333333,19.8,17.0,2,0,0,Sunday,1,6,Summer,0,0.9833333333333343,-0.9833333333333343,1
2025-06-09,20.633333333333333,13.366666666666667,17.0,7.266666666666666,9.0,3.0,18.4,15.633333333333333,3,0,0,Monday,0,6,Summer,0,1.0,-1.0,1
2025-06-10,21.166666666666668,13.066666666666668,17.116666666666664,8.1,1.9,0.6333333333333333,25.8,21.766666666666666,3,0,0,Tuesday,0,6,Summer,0,0.8833333333333364,-0.8833333333333364,1
2025-06-11,25.0,12.700000000000001,18.849999999999998,12.299999999999999,0.5,0.16666666666666666,25.6,21.7,2,1,0,Wednesday,0,6,Summer,1,0.8499999999999979,0.8499999999999979,1
2025-06-12,21.933333333333334,13.266666666666666,17.6,8.666666666666666,0.0,0.0,25.0,20.900000000000002,0,0,0,Thursday,0,6,Summer,0,0.3999999999999986,-0.3999999999999986,0
2025-06-13,17.733333333333334,11.466666666666667,14.6,6.266666666666667,0.0,0.0,16.0,14.433333333333332,0,0,0,Friday,0,6,Summer,0,3.4000000000000004,-3.4000000000000004,0
2025-06-14,21.0,12.799999999999999,16.900000000000002,8.200000000000001,0.0,0.0,15.8,15.0,0,0,0,Saturday,1,6,Summer,0,1.0999999999999979,-1.0999999999999979,0
2025-06-15,23.066666666666666,13.233333333333334,18.150000000000002,9.833333333333334,0.0,0.0,14.9,13.033333333333333,0,0,0,Sunday,1,6,Summer,0,0.15000000000000213,0.15000000000000213,0
2025-06-16,25.26666666666667,14.233333333333334,19.75,11.033333333333333,0.0,0.0,13.9,12.533333333333333,0,1,0,Monday,0,6,Summer,1,1.75,1.75,0
2025-06-17,25.7,14.866666666666667,20.28333333333333,10.833333333333334,3.0,1.0,20.6,14.933333333333332,2,1,0,Tuesday,0,6,Summer,1,2.2833333333333314,2.2833333333333314,1
2025-06-18,28.166666666666668,18.433333333333334,23.3,9.733333333333333,8.0,2.6666666666666665,19.5,14.633333333333333,3,3,0,Wednesday,0,6,Summer,1,5.300000000000001,5.300000000000001,1
2025-06-19,25.03333333333333,15.4,20.216666666666665,9.633333333333333,24.900000000000002,8.3,41.6,37.800000000000004,3,1,0,Thursday,0,6,Summer,1,2.216666666666665,2.216666666666665,1
2025-06-20,24.333333333333332,13.299999999999999,18.816666666666666,11.033333333333333,1.2999999999999998,0.4333333333333333,24.5,20.900000000000002,3,2,0,Friday,0,6,Summer,0,0.8166666666666664,0.8166666666666664,1
2025-06-21,26.433333333333334,14.566666666666668,20.5,11.866666666666667,14.2,4.733333333333333,31.5,25.5,3,3,0,Saturday,1,6,Summer,1,2.5,2.5,1
2025-06-22,31.46666666666667,23.5,27.48333333333333,7.966666666666666,3.4000000000000004,1.1333333333333335,26.5,23.733333333333334,3,3,0,Sunday,1,6,Summer,1,9.48333333333333,9.48333333333333,1
2025-06-23,34.53333333333333,23.166666666666668,28.849999999999998,11.366666666666667,0.0,0.0,20.2,18.066666666666666,0,3,0,Monday,0,6,Summer,1,10.849999999999998,10.849999999999998,0
2025-06-24,33.333333333333336,24.133333333333336,28.733333333333334,9.200000000000001,3.9,1.3,22.1,20.633333333333333,3,3,0,Tuesday,0,6,Summer,1,10.733333333333334,10.733333333333334,1
2025-06-25,29.833333333333332,20.733333333333334,25.28333333333333,9.100000000000001,0.1,0.03333333333333333,17.6,14.533333333333333,1,3,0,Wednesday,0,6,Summer,1,7.283333333333331,7.283333333333331,1
2025-06-26,24.233333333333334,17.233333333333334,20.733333333333334,7.0,5.7,1.9000000000000001,20.8,19.2,2,1,0,Thursday,0,6,Summer,0,2.7333333333333343,2.7333333333333343,1
2025-06-27,24.566666666666663,16.433333333333334,20.5,8.133333333333331,17.1,5.7,23.5,21.366666666666664,3,1,0,Friday,0,6,Summer,0,2.5,2.5,1
2025-06-28,25.766666666666666,16.533333333333335,21.150000000000002,9.233333333333333,8.2,2.733333333333333,24.3,23.3,3,2,0,Saturday,1,6,Summer,1,3.150000000000002,3.150000000000002,1
2025-06-29,25.7,13.9,19.8,11.800000000000002,0.0,0.0,12.6,11.6,0,2,0,Sunday,1,6,Summer,1,1.8000000000000007,1.8000000000000007,0
2025-06-30,28.600000000000005,17.599999999999998,23.100000000000005,11.0,12.3,4.1000000000000005,18.8,14.633333333333335,3,3,0,Monday,0,6,Summer,1,5.100000000000005,5.100000000000005,1
2025-07-01,27.066666666666666,19.666666666666668,23.366666666666664,7.400000000000001,0.8999999999999999,0.3,21.7,18.166666666666668,2,3,0,Tuesday,0,7,Summer,1,5.366666666666664,5.366666666666664,1
2025-07-02,28.333333333333332,17.366666666666667,22.849999999999998,10.966666666666667,2.9,0.9666666666666667,21.0,15.966666666666667,3,3,0,Wednesday,0,7,Summer,1,4.849999999999998,4.849999999999998,1
2025-07-03,24.233333333333334,17.133333333333333,20.683333333333334,7.1000000000000005,5.4,1.8,27.6,24.666666666666668,3,2,0,Thursday,0,7,Summer,0,2.6833333333333336,2.6833333333333336,1
2025-07-04,25.8,14.033333333333333,19.916666666666668,11.766666666666666,0.0,0.0,17.1,15.700000000000001,0,2,0,Friday,0,7,Summer,1,1.9166666666666679,1.9166666666666679,0
2025-07-05,29.933333333333334,17.53333333333333,23.733333333333334,12.4,8.0,2.6666666666666665,16.5,14.733333333333334,3,3,0,Saturday,1,7,Summer,1,5.733333333333334,5.733333333333334,1
2025-07-06,31.600000000000005,22.5,27.05,9.1,1.9,0.6333333333333333,25.7,23.7,1,3,0,Sunday,1,7,Summer,1,9.05,9.05,1
2025-07-07,27.5,18.7,23.099999999999998,8.8,0.3,0.09999999999999999,22.9,20.0,1,2,0,Monday,0,7,Summer,1,5.099999999999998,5.099999999999998,1
2025-07-08,25.066666666666666,17.533333333333335,21.3,7.533333333333334,0.4,0.13333333333333333,12.7,12.4,2,2,0,Tuesday,0,7,Summer,1,3.3000000000000007,3.3000000000000007,1
2025-07-09,25.733333333333334,16.96666666666667,21.349999999999998,8.766666666666666,4.8,1.5999999999999999,13.0,12.366666666666667,3,3,0,Wednesday,0,7,Summer,1,3.349999999999998,3.349999999999998,1
2025-07-10,26.5,17.3,21.900000000000002,9.200000000000001,1.8,0.6,11.4,10.200000000000001,3,3,0,Thursday,0,7,Summer,1,3.900000000000002,3.900000000000002,1
2025-07-11,28.46666666666667,18.033333333333335,23.25,10.433333333333332,0.0,0.0,12.3,10.533333333333333,0,3,0,Friday,0,7,Summer,1,5.25,5.25,0
2025-07-12,31.666666666666668,20.8,26.233333333333334,10.866666666666669,2.5,0.8333333333333334,21.3,17.533333333333335,3,3,0,Saturday,1,7,Summer,1,8.233333333333334,8.233333333333334,1
2025-07-13,30.46666666666667,21.96666666666667,26.21666666666667,8.5,4.9,1.6333333333333335,20.3,16.966666666666665,3,3,0,Sunday,1,7,Summer,1,8.216666666666669,8.216666666666669,1
2025-07-14,28.96666666666667,19.566666666666666,24.266666666666666,9.4,0.0,0.0,14.6,13.933333333333332,0,3,0,Monday,0,7,Summer,1,6.266666666666666,6.266666666666666,0
2025-07-15,30.5,18.599999999999998,24.55,11.9,0.0,0.0,13.2,11.033333333333333,0,3,0,Tuesday,0,7,Summer,1,6.550000000000001,6.550000000000001,0
2025-07-16,31.133333333333336,20.566666666666666,25.850000000000005,10.566666666666665,1.4,0.4666666666666666,16.3,15.300000000000002,2,3,0,Wednesday,0,7,Summer,1,7.850000000000005,7.850000000000005,1
2025-07-17,27.7,16.900000000000002,22.3,10.799999999999999,4.3,1.4333333333333333,35.8,32.73333333333333,3,3,0,Thursday,0,7,Summer,1,4.300000000000001,4.300000000000001,1
2025-07-18,23.03333333333333,13.166666666666666,18.099999999999998,9.866666666666665,0.0,0.0,16.8,15.933333333333332,0,0,0,Friday,0,7,Summer,0,0.09999999999999787,0.09999999999999787,0
2025-07-19,26.3,14.633333333333333,20.466666666666665,11.666666666666666,2.1,0.7000000000000001,17.4,13.466666666666667,1,2,0,Saturday,1,7,Summer,1,2.466666666666665,2.466666666666665,1
2025-07-20,25.099999999999998,18.53333333333333,21.816666666666666,6.566666666666667,14.0,4.666666666666667,22.6,21.033333333333335,3,2,0,Sunday,1,7,Summer,1,3.8166666666666664,3.8166666666666664,1
2025-07-21,22.333333333333332,15.0,18.666666666666668,7.333333333333333,0.0,0.0,18.0,16.433333333333334,0,0,0,Monday,0,7,Summer,0,0.6666666666666679,0.6666666666666679,0
2025-07-22,23.333333333333332,14.433333333333332,18.883333333333333,8.9,0.3,0.09999999999999999,13.5,12.533333333333333,1,0,0,Tuesday,0,7,Summer,0,0.8833333333333329,0.8833333333333329,1
2025-07-23,27.8,15.600000000000001,21.7,12.200000000000001,0.0,0.0,18.2,13.666666666666666,0,3,0,Wednesday,0,7,Summer,1,3.6999999999999993,3.6999999999999993,0
2025-07-24,32.86666666666667,19.933333333333334,26.400000000000002,12.933333333333332,10.9,3.6333333333333333,23.9,22.400000000000002,3,3,0,Thursday,0,7,Summer,1,8.400000000000002,8.400000000000002,1
2025-07-25,27.666666666666668,21.066666666666666,24.366666666666664,6.599999999999999,3.6,1.2,15.5,14.0,3,3,0,Friday,0,7,Summer,1,6.366666666666664,6.366666666666664,1
