date,city,latitude,longitude,timezone,temp_max_celsius,temp_min_celsius,precipitation_mm,wind_speed_max_kmh,source_file,temp_range_celsius
2025-05-11,oshawa,43.90158,-79.09091,America/Toronto,12.3,3.4,0.0,20.6,oshawa_weather_2026-04-12T17-07-49.json,8.9
2025-05-11,toronto,43.690685,-79.41174,America/Toronto,12.7,5.8,0.0,18.9,toronto_weather_2026-04-12T17-07-49.json,6.8999999999999995
2025-05-12,barrie,44.393673,-79.66312,America/Toronto,26.5,6.2,0.0,12.1,barrie_weather_2026-04-12T17-07-49.json,20.3
2025-05-12,oshawa,43.90158,-79.09091,America/Toronto,22.0,5.0,0.0,9.1,oshawa_weather_2026-04-12T17-07-49.json,17.0
2025-05-12,toronto,43.690685,-79.41174,America/Toronto,22.6,6.6,0.0,11.2,toronto_weather_2026-04-12T17-07-49.json,16.0
2025-05-13,barrie,44.393673,-79.66312,America/Toronto,25.8,12.8,0.4,25.2,barrie_weather_2026-04-12T17-07-49.json,13.0
2025-05-13,oshawa,43.90158,-79.09091,America/Toronto,22.1,10.7,2.2,17.5,oshawa_weather_2026-04-12T17-07-49.json,11.400000000000002
2025-05-13,toronto,43.690685,-79.41174,America/Toronto,20.8,11.6,5.3,17.7,toronto_weather_2026-04-12T17-07-49.json,9.200000000000001
2025-05-14,barrie,44.393673,-79.66312,America/Toronto,22.5,14.6,0.1,25.0,barrie_weather_2026-04-12T17-07-49.json,7.9
2025-05-14,oshawa,43.90158,-79.09091,America/Toronto,18.5,12.6,1.9,20.3,oshawa_weather_2026-04-12T17-07-49.json,5.9
2025-05-14,toronto,43.690685,-79.41174,America/Toronto,16.5,11.2,2.0,20.8,toronto_weather_2026-04-12T17-07-49.json,5.300000000000001
2025-05-15,barrie,44.393673,-79.66312,America/Toronto,25.8,13.1,1.0,14.8,barrie_weather_2026-04-12T17-07-49.json,12.700000000000001
2025-05-15,oshawa,43.90158,-79.09091,America/Toronto,20.8,12.2,0.0,11.2,oshawa_weather_2026-04-12T17-07-49.json,8.600000000000001
2025-05-15,toronto,43.690685,-79.41174,America/Toronto,20.5,11.9,0.0,13.0,toronto_weather_2026-04-12T17-07-49.json,8.6
2025-05-16,barrie,44.393673,-79.66312,America/Toronto,25.6,14.8,8.6,19.2,barrie_weather_2026-04-12T17-07-49.json,10.8
2025-05-16,oshawa,43.90158,-79.09091,America/Toronto,27.8,11.9,0.4,13.0,oshawa_weather_2026-04-12T17-07-49.json,15.9
2025-05-16,toronto,43.690685,-79.41174,America/Toronto,28.2,11.6,0.8,14.0,toronto_weather_2026-04-12T17-07-49.json,16.6
2025-05-17,barrie,44.393673,-79.66312,America/Toronto,20.1,11.4,11.9,20.8,barrie_weather_2026-04-12T17-07-49.json,8.700000000000001
2025-05-17,oshawa,43.90158,-79.09091,America/Toronto,20.1,12.4,12.2,25.2,oshawa_weather_2026-04-12T17-07-49.json,7.700000000000001
2025-05-17,toronto,43.690685,-79.41174,America/Toronto,18.5,13.5,23.7,24.5,toronto_weather_2026-04-12T17-07-49.json,5.0
2025-05-18,barrie,44.393673,-79.66312,America/Toronto,11.3,6.7,0.9,26.6,barrie_weather_2026-04-12T17-07-49.json,4.6000000000000005
2025-05-18,oshawa,43.90158,-79.09091,America/Toronto,14.9,9.4,0.0,30.3,oshawa_weather_2026-04-12T17-07-49.json,5.5
2025-05-18,toronto,43.690685,-79.41174,America/Toronto,15.9,10.8,0.0,22.5,toronto_weather_2026-04-12T17-07-49.json,5.1
2025-05-19,barrie,44.393673,-79.66312,America/Toronto,10.7,4.6,0.0,21.3,barrie_weather_2026-04-12T17-07-49.json,6.1
2025-05-19,oshawa,43.90158,-79.09091,America/Toronto,13.7,6.1,0.3,19.6,oshawa_weather_2026-04-12T17-07-49.json,7.6
