date,ontario_demand_avg_mw,ontario_demand_peak_mw,ontario_demand_min_mw,ontario_demand_std_mw,market_demand_avg_mw,ontario_peak_hour,demand_range_mw
2025-09-01,14674.041666666666,17923,12202,1963.4679496983774,16238.75,18,5721
2025-09-02,16327.708333333334,19302,12627,2290.7964910497394,18044.416666666668,17,6675
2025-09-03,16513.625,19695,13188,2132.896108530045,18383.375,18,6507
2025-09-04,15796.458333333334,17509,13533,1389.6138963025312,17735.625,17,3976
2025-09-05,15089.458333333334,17010,12661,1427.2835853365002,18049.208333333332,20,4349
2025-09-06,14197.625,15799,12477,1078.4611344310285,16466.5,20,3322
2025-09-07,13949.916666666666,16281,12227,1273.2252069199042,15869.083333333334,20,4054
2025-09-08,14919.916666666666,17145,12254,1556.7014155262548,16339.083333333334,20,4891
2025-09-09,15005.208333333334,17281,12548,1502.5479513195216,16614.875,18,4733
2025-09-10,15614.875,18051,12662,1804.0995179457739,17459.666666666668,18,5389
2025-09-11,15858.375,18484,12895,1834.9395159443034,17365.75,18,5589
2025-09-12,15736.958333333334,17999,13195,1622.3395741461084,17287.416666666668,17,4804
2025-09-13,15090.75,17185,12827,1510.4670527327976,16737.333333333332,18,4358
2025-09-14,15268.541666666666,18520,12480,2125.9730453354186,16997.25,18,6040
2025-09-15,16128.208333333334,19467,12865,2108.112136675158,18334.25,18,6602
2025-09-16,16145.166666666666,19530,12943,2133.7362345989673,18250.083333333332,17,6587
2025-09-17,16316.875,19544,13031,2200.161403417248,18429.875,18,6513
2025-09-18,16660.666666666668,19931,13241,2273.6275490686817,18682.625,17,6690
2025-09-19,15658.833333333334,17872,13280,1468.594053083977,18215.125,17,4592
2025-09-20,14065.416666666666,16056,12455,1106.9050827956485,16450.916666666668,18,3601
2025-09-21,14773.791666666666,17860,12020,1976.002749935745,16570.333333333332,17,5840
2025-09-22,16702.875,19464,13044,2087.966377217627,18218.458333333332,17,6420
2025-09-23,16890.375,19379,13548,1956.9240906941507,17777.833333333332,17,5831
2025-09-24,16464.041666666668,18417,13511,1699.918245583202,17993.875,19,4906
2025-09-25,16305.375,18181,13419,1680.0723538379032,17892.0,19,4762
2025-09-26,16024.375,18302,13185,1733.390490452541,17629.333333333332,17,5117
2025-09-27,15288.291666666666,17844,12844,1683.0420046727156,16723.666666666668,18,5000
2025-09-28,14842.541666666666,17861,12469,1752.1722413637872,16033.875,18,5392
2025-09-29,15700.75,18999,12504,2032.397026644411,16782.333333333332,17,6495
2025-09-30,15377.041666666666,18155,12723,1689.7265402416751,16980.541666666668,17,5432
2025-10-01,14667.458333333334,16697,12412,1369.578163528645,16701.333333333332,19,4285
2025-10-02,14818.333333333334,16997,12406,1486.2563903886216,16649.708333333332,18,4591
2025-10-03,15239.208333333334,17882,12638,1617.7535142817694,16761.833333333332,18,5244
2025-10-04,15212.791666666666,18555,12599,1959.0483044218106,16634.291666666668,17,5956
